Time slot,Source server name,Source IP,Source application,Source process,Destination server name,Destination IP,Destination application,Destination process,Destination port
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,59425
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,59479
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,59477
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,59524
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,59522
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,59587
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,59585
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,59639
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,59637
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,59689
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,59687
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,59744
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,59742
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,59811
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,59809
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,59863
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,59861
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,59919
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,59917
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,59967
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,59965
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60025
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60023
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60099
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60097
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60154
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60152
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60198
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60196
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60258
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60256
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60315
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60313
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60367
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60365
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60421
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60418
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60497
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60495
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60547
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60545
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60614
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60613
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60612
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60659
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60657
2/1/2025 0:00-6:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60645
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60718
1/31/2025 18:00-0:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60716
2/1/2025 0:00-6:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60786
2/1/2025 0:00-6:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60784
2/1/2025 0:00-6:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60840
2/1/2025 0:00-6:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60838
2/1/2025 0:00-6:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60889
2/1/2025 0:00-6:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60887
2/1/2025 0:00-6:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60949
2/1/2025 0:00-6:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,60947
2/1/2025 0:00-6:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,61004
2/1/2025 0:00-6:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,61002
2/1/2025 0:00-6:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,61058
2/1/2025 0:00-6:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,61056
2/1/2025 0:00-6:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,61117
2/1/2025 0:00-6:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,61115
2/1/2025 0:00-6:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,61190
2/1/2025 0:00-6:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,61188
2/1/2025 0:00-6:00,vm1,192.168.0.51,Microsoft® Windows® Operating System,svchost.exe,,84.201.222.66,,Unknown process,80
2/1/2025 0:00-6:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,61243
2/1/2025 0:00-6:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,61241
2/1/2025 0:00-6:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,61300
2/1/2025 0:00-6:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,61298
2/1/2025 0:00-6:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,61349
2/1/2025 0:00-6:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,61347
2/1/2025 0:00-6:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,61405
2/1/2025 0:00-6:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,61403
2/1/2025 0:00-6:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,61477
2/1/2025 0:00-6:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,61474
2/1/2025 0:00-6:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,61531
2/1/2025 0:00-6:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,61529
2/1/2025 0:00-6:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,61579
2/1/2025 0:00-6:00,vm1,fe80::6208:ffe1:9223:386e%3,,System,,fe80::28b8:60da:fe51:7378%3,,Unknown process,61577
